,precision,recall,f1-score,support
0,0.8439534424935885,0.6405150471627489,0.7282941777323799,6679.0
1,0.23801967629324025,0.48669695003244645,0.319693094629156,1541.0
accuracy,0.6116788321167883,0.6116788321167883,0.6116788321167883,0.6116788321167883
macro avg,0.5409865593934143,0.5636059985975976,0.523993636180768,8220.0
weighted avg,0.7303592899735476,0.6116788321167883,0.6516939016907658,8220.0
