,precision,recall,f1-score,support
0,0.8412908095867144,0.6763768775603095,0.7498738435660218,6591.0
1,0.2697706264977747,0.48373235113566604,0.34637362637362634,1629.0
accuracy,0.6381995133819951,0.6381995133819951,0.6381995133819951,0.6381995133819951
macro avg,0.5555307180422446,0.5800546143479878,0.548123734969824,8220.0
weighted avg,0.7280296930110596,0.6381995133819951,0.6699101143924924,8220.0
