,precision,recall,f1-score,support
0,0.8583923365264473,0.6159593544530783,0.717243779363146,6692.0
1,0.2480983031012288,0.5549738219895288,0.3429033562474727,1528.0
accuracy,0.6046228710462287,0.6046228710462287,0.6046228710462287,0.6046228710462287
macro avg,0.5532453198138381,0.5854665882213035,0.5300735678053093,8220.0
weighted avg,0.74494595172429,0.6046228710462287,0.6476583576452933,8220.0
