,precision,recall,f1-score,support
0,0.850629874025195,0.6386428464194566,0.7295489624421198,6661.0
1,0.25225225225225223,0.5208466966003849,0.339891167852658,1559.0
accuracy,0.616301703163017,0.616301703163017,0.616301703163017,0.616301703163017
macro avg,0.5514410631387237,0.5797447715099207,0.5347200651473889,8220.0
weighted avg,0.7371419528154605,0.616301703163017,0.6556467116191307,8220.0
