,precision,recall,f1-score,support
0,0.8470349159431,0.6843283582089552,0.7570378931726246,6700.0
1,0.24652654079087993,0.45526315789473687,0.319852091518373,1520.0
accuracy,0.641970802919708,0.641970802919708,0.641970802919708,0.641970802919708
macro avg,0.54678072836699,0.569795758051846,0.5384449923454988,8220.0
weighted avg,0.7359920047227382,0.641970802919708,0.6761957498010355,8220.0
